stats_player_id,player_name,player_name_short,team_name,match_status
7bax3jm28diumniaqp7qs5j9x,Salem Al Azizi,Salem Juma Awad Mubarak,Al Wasl Club,confirmed
7w0nr9un8u1up3962rfillq6t,Ahmed Barman,Ahmed Barman Ali Barman Shamroukh,Khorfakkan Club,confirmed
9kwd05hb8bemo7962iytn766s,Mayed Saeed,Mayed Saeed Hassan Al kass,Sharjah FC,confirmed
1l4hvlq9yxiq4gxyeu012vljp,Diney,Edilson Alberto,Al Bataeh Club,confirmed
4gv3glyflkn5sluv73uf1w6j8,Mohamed Adli,Adli Hatim Othman Husain,Al Nasr SC,confirmed
5od50bnzveylyj3znpoc9ezv8,Houssine Rahimi,Houssine,Al Ain FC,confirmed
7rtq823x69hkv73wtk8fy2x62,Yahya Jabrane,Yahya,Ajman Club,confirmed
3ymdc1rcofjemmsdhbusauymt,Ali Khaseif,Ali Khaseif Humaid Khaseif,Al Jazira Club,confirmed
7sr1pnf0p9xmgu7xx6bbd4w5x,JÃ³hann Berg GuÃ°mundsÂ­son,JÃ³hann,Al Dhafra FC,confirmed
22xzazm0rtnjl0xm2yfr6hec5,Caio Canedo,Caio,Al Wahda FC,confirmed
5az9an7xypbg5a4m34vi2h39x,Ali Salmin,Ali Hassan Ali Salmin,Al Ittihad Kalba,confirmed
8u7893z214qi20j3jpktri11x,Alhasan Saleh,Alhasan Saleh Easa Qutaif,Al Bataeh Club,confirmed
dlegbrjynls15ld7w9ty1ogyd,Adel Al Hosani,Adel Mohamed Ali Mohamed,Sharjah FC,confirmed
76724de0n65itgxtn10uqcaju,Rafael Pereira,Rafael AntÃ³nio,Al Bataeh Club,confirmed
eijd6yua2daogndd8o9br4n2t,Mahmoud Al Mardi,Mahmoud Nayef Ahmad,Dibba FC,confirmed
4cww4jf71e1pt0kl993q2lnv8,Saif Al Kaabi,Saif Obaid Saeed,Sharjah FC,confirmed
51zbqbf80oa57naxrcsny8aok,Abdulqader Abdullah,Abdulqader,Al Wahda FC,confirmed
